Student_ID,Skill_Name,Skill_Score,Assessment_Score,Course_Completion_Percentage,Learning_Hours,Assignment_Completion_Rate,Login_Frequency,Skill_Category,Proficiency_Level
S001,Python,78,91,68,19,82,8,Programming,Intermediate
S001,SQL,60,78,97,87,62,11,Programming,Intermediate
S001,Excel,50,63,92,28,42,22,Analytics,Beginner
S001,Statistics,92,41,63,34,77,2,Analytics,Advanced
S001,Machine Learning,99,60,72,80,97,22,AI,Advanced
S001,Deep Learning,83,64,88,95,98,10,AI,Advanced
S001,Data Visualization,67,99,55,19,86,19,Analytics,Intermediate
S001,Power BI,83,94,91,68,96,3,Analytics,Advanced
S001,Tableau,76,90,46,25,48,7,Analytics,Intermediate
S001,Communication,57,43,64,64,53,18,Soft Skills,Beginner
S001,Problem Solving,97,48,65,57,41,20,Soft Skills,Advanced
S001,Critical Thinking,67,86,99,75,83,29,Soft Skills,Intermediate
S001,Cloud Computing,47,86,74,82,56,4,Cloud,Beginner
S001,AWS,89,79,43,6,45,22,Cloud,Advanced
S001,Azure,81,43,93,97,57,26,Cloud,Advanced
S001,Docker,83,73,49,66,75,14,Cloud,Advanced
S001,Git,70,87,54,76,53,23,Programming,Intermediate
S001,NLP,99,96,79,89,55,13,AI,Advanced
S001,Computer Vision,57,86,92,28,65,25,AI,Beginner
S001,Data Engineering,99,99,99,45,68,15,Engineering,Advanced
S001,Big Data,84,40,64,75,48,24,Engineering,Advanced
S001,Spark,40,83,47,92,50,19,Engineering,Beginner
S001,Leadership,56,47,74,39,72,27,Soft Skills,Beginner
S001,Project Management,44,81,78,45,67,7,Soft Skills,Beginner
S001,Cybersecurity,48,47,51,38,72,16,Security,Beginner
S002,Python,94,62,63,41,74,12,Programming,Advanced
S002,SQL,79,61,66,39,40,3,Programming,Intermediate
S002,Excel,76,86,53,7,40,5,Analytics,Intermediate
S002,Statistics,65,94,53,31,48,15,Analytics,Intermediate
S002,Machine Learning,54,65,81,81,90,7,AI,Beginner
S002,Deep Learning,88,91,71,8,69,5,AI,Advanced
S002,Data Visualization,62,78,84,19,82,29,Analytics,Intermediate
S002,Power BI,75,52,71,75,98,19,Analytics,Intermediate
S002,Tableau,61,67,41,46,84,25,Analytics,Intermediate
